banque;date;pays;Effectif;impot courant;impot différé;Produit Net Bancaire;NB filiales périmètre en +;NB filiales CBCR;impot sur bénéfice;Resultat avant impot;resultats/effectifs;Total filiales;resultats/pnb
BNP;2014-12-31;Taïwan;441;-60000000;-20000000;1350000000;;5;-80000000;800000000;1.81406e+06;5;0.592593
CA;2014-12-31;Brésil;125;-40000000;;510000000;1;3;-40000000;120000000;960000;4;0.235294
SG;2014-12-31;Serbie;1301;;30000000;930000000;;2;30000000;90000000;69177.6;2;0.0967742
CM;2014-12-31;Maroc;;;;;;2;;-330000000;;2;
BPCE;2014-12-31;Taïwan;20;;;20000000;;2;;20000000;1000000;2;1
BNP;2014-12-31;Arabie Saoudite;35;-10000000;;140000000;;2;-10000000;50000000;1.42857e+06;2;0.357143
BNP;2014-12-31;Brésil;1280;-870000000;100000000;6250000000;;14;-770000000;2140000000;1671875;14;0.3424
BPCE;2014-12-31;Afrique du Sud;66;;;40000000;;2;;;;2;
SG;2014-12-31;Grèce;38;;;40000000;1;2;;10000000;263158;3;0.25
BPCE;2014-12-31;Algérie;693;;;690000000;;1;-90000000;400000000;577201;1;0.57971
SG;2014-12-31;Luxembourg;1275;-960000000;-260000000;8340000000;3;24;-1220000000;5900000000;4.62745e+06;27;0.707434
BNP;2014-12-31;Thaïlande;63;-30000000;;240000000;;1;-30000000;140000000;2.22222e+06;1;0.583333
BPCE;2014-12-31;Laos;164;;;50000000;;2;;20000000;121951;2;0.4
SG;2014-12-31;Gibraltar;50;;;160000000;;2;;;;2;
SG;2014-12-31;Tunisie;1229;-120000000;-20000000;910000000;;1;-140000000;340000000;276648;1;0.373626
SG;2014-12-31;Turquie;125;;;220000000;;2;;30000000;240000;2;0.136364
SG;2014-12-31;France;51794;-3470000000;330000000;105760000000;7;301;-3140000000;3210000000;61976.3;308;0.0303517
SG;2014-12-31;Chine;537;;10000000;840000000;;4;10000000;120000000;223464;4;0.142857
SG;2014-12-31;Royaume-Uni;2934;-500000000;-450000000;14520000000;;52;-950000000;2430000000;828221;52;0.167355
SG;2014-12-31;Lettonie;;;;;;1;;10000000;;1;
CA;2014-12-31;Autriche;;;;;2;;;;;2;
BNP;2014-12-31;Serbie;869;-10000000;;460000000;;2;-10000000;110000000;126582;2;0.23913
BPCE;2014-12-31;Danemark;79;;;170000000;;2;-10000000;10000000;126582;2;0.0588235
CM;2014-12-31;France;65;-10000000;-1060000000;130000000;54;300;-10000000;60000000;;354;
BNP;2014-12-31;Roumanie;814;-20000000;;500000000;;9;-20000000;120000000;147420;9;0.24
